Course Section,Course Subject,Course Number,Section Number,Academic Level,Section Status,Section Title,Term,Number of Registered Students,Number of Waitlisted Students with Seat Offer,Number of Waitlisted Students,Number of Registered Students and Active Seat Offer Notifications,Section Capacity,Wait List Capacity,Instructional Format,Delivery Mode,Instructor
PLNT_V 523-001,PLNT_V,523,001,Graduate,Open,Graduate Research Seminar,W1,2,0,0,2,45,0,Seminar,In Person Learning,"Juli Carrillo

Thorsten Knipfer"
PLNT_V 523-003,PLNT_V,523,003,Graduate,Open,Graduate Research Seminar,W1-2,18,0,0,18,45,0,Seminar,In Person Learning,"Juli Carrillo

Thorsten Knipfer"
PLNT_V 530-B_001,PLNT_V,530,B_001,Graduate,Closed,Directed Studies,W1-2,1,0,0,1,0,0,Independent Study,In Person Learning,
PLNT_V 530-B_003,PLNT_V,530,B_003,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
PLNT_V 530-B_LX1,PLNT_V,530,B_LX1,Graduate,Closed,Directed Studies,W1-2,1,0,0,1,0,0,Lecture,In Person Learning,
PLNT_V 530-B_LX3,PLNT_V,530,B_LX3,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Lecture,In Person Learning,
PLNT_V 530-D_003,PLNT_V,530,D_003,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
PLNT_V 530-D_LX1,PLNT_V,530,D_LX1,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Lecture,In Person Learning,
PLNT_V 530-F_001,PLNT_V,530,F_001,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
PLNT_V 530-F_003,PLNT_V,530,F_003,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
PLNT_V 530-F_LX1,PLNT_V,530,F_LX1,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Lecture,In Person Learning,
PLNT_V 530-F_LX3,PLNT_V,530,F_LX3,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Lecture,In Person Learning,
PLNT_V 540-101,PLNT_V,540,101,Graduate,Open,Plant Molecular Biology Laboratory,W1,1,0,0,1,5,0,Laboratory,In Person Learning,David Ng
PLNT_V 549-A_001,PLNT_V,549,A_001,Graduate,Open,Master's Thesis,W1,2,0,0,2,18,0,Thesis,In Person Learning,
PLNT_V 549-A_003,PLNT_V,549,A_003,Graduate,Open,Master's Thesis,W1-2,3,0,0,3,18,0,Thesis,In Person Learning,
